id,item_name,price,applied_from,applied_to
6cb433587f2e4ffb96b2637450054a25,fruit_juice,150,2017-01-01,2019-12-31
c94391cc8ff8483387ad01a1d988cf51,apple_juice,120,2017-01-01,2019-12-31
5228e4a211284d5aae0d9058e7dfd508,orange_juice,120,2017-01-01,2019-12-31
1401c34d7a9047a1be062bd5db06b85c,sports_drink,130,2017-01-01,2019-12-31
c48ebfc163614a80b5083ac54e720603,coffee,200,2017-01-01,2019-12-31
3953d035b2bb4ccb93e56ab7a0239210,milk,130,2017-01-01,2019-12-31
a6065e4c5e694e8ebc5863bdb30bf1e2,mineral_water,100,2017-01-01,2019-12-31
4f89bf4ca7934d6993e81cccd4b2d453,sparkling_water,120,2017-01-01,2019-12-31
ee13954b9f464a99947de2563163250c,soy_milk,120,2017-01-01,2019-12-31
5b103ae48bbb4dfaa9cd5b2d2a59e703,beer,200,2017-01-01,2019-12-31