id,name,region_id
8664a5be181a4d069f74ab93a589a0bf,nagoya,87d600798b7e48959c794a5dfed7a845
44501d7d1d3c48f797fb9bcae2a91a27,shinjuku,fcfe054baacb4fe4a5e980fc3d03e84c
f5f04a4084dd4cce854627e71d7799c4,osaka,87d600798b7e48959c794a5dfed7a845
43b5b4f590f44afa9bf13014d655a92a,kobe,87d600798b7e48959c794a5dfed7a845
74d8bcbc3d9b44a1a5fbc44af35a4876,sendai,fa11aa18580041128473321c53c07e79
cd333a0e0bce4d05a2bdc8f0e929dfca,chiba,fcfe054baacb4fe4a5e980fc3d03e84c
42d39a30217d48e6aa4e2d54bfd882dc,morioka,fa11aa18580041128473321c53c07e79
8adf943b8a614e2597f8a9687bfe6c3d,ginza,fcfe054baacb4fe4a5e980fc3d03e84c
723b50b0fd444bb5905fffd10f9da8a5,yokohama,fcfe054baacb4fe4a5e980fc3d03e84c
dbc27221cbcf48da8d6aca12e14fe604,ueno,fcfe054baacb4fe4a5e980fc3d03e84c